Sample 1:		No. iterations:		12.		Error = 0.000935954
Sample 2:		No. iterations:		15.		Error = 0.000864355
Sample 3:		No. iterations:		131.		Error = 0.000779944
Sample 4:		No. iterations:		512.		Error = 0.499975
Sample 5:		No. iterations:		512.		Error = 0.500046
Sample 6:		No. iterations:		512.		Error = 1.00002
Sample 7:		No. iterations:		512.		Error = 0.499989
Sample 8:		No. iterations:		229.		Error = 0.000329365
Sample 9:		No. iterations:		55.		Error = 0.000109194
Sample 10:		No. iterations:		47.		Error = 0.000392255
Sample 11:		No. iterations:		512.		Error = 0.499958
Sample 12:		No. iterations:		28.		Error = 0.000705791
Sample 13:		No. iterations:		42.		Error = 0.000773235
Sample 14:		No. iterations:		18.		Error = 0.000737996
Sample 15:		No. iterations:		8.		Error = 0.000405332
Sample 16:		No. iterations:		165.		Error = 0.000199584
Sample 17:		No. iterations:		24.		Error = 0.000829635
Sample 18:		No. iterations:		106.		Error = 0.000949657
Sample 19:		No. iterations:		368.		Error = 9.14884e-05
Sample 20:		No. iterations:		512.		Error = 0.499829
Sample 21:		No. iterations:		7.		Error = 0.000162208
Sample 22:		No. iterations:		10.		Error = 0.00085297
Sample 23:		No. iterations:		107.		Error = 0.000116422
Sample 24:		No. iterations:		16.		Error = 0.000264698
Sample 25:		No. iterations:		1.		Error = 0.000102289
Sample 26:		No. iterations:		512.		Error = 0.500004
Sample 27:		No. iterations:		443.		Error = 0.000332025
Sample 28:		No. iterations:		20.		Error = 0.000352317
Sample 29:		No. iterations:		512.		Error = 0.500003
Sample 30:		No. iterations:		33.		Error = 0.000515337
Sample 31:		No. iterations:		512.		Error = 0.5
Sample 32:		No. iterations:		512.		Error = 0.5
Sample 33:		No. iterations:		10.		Error = 0.000201113
Sample 34:		No. iterations:		84.		Error = 0.000135676
Sample 35:		No. iterations:		91.		Error = 0.000120599
Sample 36:		No. iterations:		15.		Error = 0.000478478
Sample 37:		No. iterations:		19.		Error = 0.000167744
Sample 38:		No. iterations:		10.		Error = 0.000321308
Sample 39:		No. iterations:		512.		Error = 0.500018
Sample 40:		No. iterations:		6.		Error = 0.00076148
Sample 41:		No. iterations:		15.		Error = 0.000635376
Sample 42:		No. iterations:		512.		Error = 0.500021
Sample 43:		No. iterations:		512.		Error = 0.499908
Sample 44:		No. iterations:		76.		Error = 0.000441632
Sample 45:		No. iterations:		512.		Error = 0.499818
Sample 46:		No. iterations:		5.		Error = 0.00040383
Sample 47:		No. iterations:		512.		Error = 0.500004
Sample 48:		No. iterations:		9.		Error = 0.000374006
Sample 49:		No. iterations:		512.		Error = 0.500004
Sample 50:		No. iterations:		47.		Error = 0.000167807
Sample 51:		No. iterations:		11.		Error = 0.000911087
Sample 52:		No. iterations:		6.		Error = 0.000224283
Sample 53:		No. iterations:		320.		Error = 0.000119004
Sample 54:		No. iterations:		278.		Error = 0.000171158
Sample 55:		No. iterations:		71.		Error = 0.000385499
Sample 56:		No. iterations:		512.		Error = 0.499997
Sample 57:		No. iterations:		37.		Error = 0.000694006
Sample 58:		No. iterations:		10.		Error = 0.000422957
Sample 59:		No. iterations:		74.		Error = 0.000824311
Sample 60:		No. iterations:		88.		Error = 0.000974384
Sample 61:		No. iterations:		16.		Error = 0.000831245
Sample 62:		No. iterations:		18.		Error = 0.000673158
Sample 63:		No. iterations:		481.		Error = 0.000454781
Sample 64:		No. iterations:		24.		Error = 0.000754508
Sample 65:		No. iterations:		22.		Error = 0.000119975
Sample 66:		No. iterations:		11.		Error = 0.000704502
Sample 67:		No. iterations:		21.		Error = 0.000823635
Sample 68:		No. iterations:		7.		Error = 0.000273847
Sample 69:		No. iterations:		8.		Error = 0.000207707
Sample 70:		No. iterations:		8.		Error = 0.000840531
Sample 71:		No. iterations:		6.		Error = 0.00096544
Sample 72:		No. iterations:		130.		Error = 0.000979522
Sample 73:		No. iterations:		5.		Error = 0.000533083
Sample 74:		No. iterations:		9.		Error = 0.000990716
Sample 75:		No. iterations:		23.		Error = 0.00039708
Sample 76:		No. iterations:		7.		Error = 0.00084918
Sample 77:		No. iterations:		512.		Error = 0.500015
Sample 78:		No. iterations:		6.		Error = 0.000735221
Sample 79:		No. iterations:		4.		Error = 0.000893979
Sample 80:		No. iterations:		6.		Error = 0.000512456
Sample 81:		No. iterations:		512.		Error = 0.500031
Sample 82:		No. iterations:		144.		Error = 0.0003826
Sample 83:		No. iterations:		82.		Error = 0.000648956
Sample 84:		No. iterations:		6.		Error = 0.000729799
Sample 85:		No. iterations:		15.		Error = 0.000905225
Sample 86:		No. iterations:		512.		Error = 0.500019
Sample 87:		No. iterations:		27.		Error = 0.000294998
Sample 88:		No. iterations:		245.		Error = 0.000206954
Sample 89:		No. iterations:		67.		Error = 0.000937929
Sample 90:		No. iterations:		12.		Error = 0.000598287
Sample 91:		No. iterations:		8.		Error = 0.000924011
Sample 92:		No. iterations:		9.		Error = 0.00067493
Sample 93:		No. iterations:		14.		Error = 0.00092916
Sample 94:		No. iterations:		8.		Error = 0.000904497
Sample 95:		No. iterations:		512.		Error = 0.499972
Sample 96:		No. iterations:		8.		Error = 0.000717901
Sample 97:		No. iterations:		7.		Error = 0.000628264
Sample 98:		No. iterations:		279.		Error = 0.000826242
Sample 99:		No. iterations:		17.		Error = 0.000426667
Sample 100:		No. iterations:		8.		Error = 0.000607897
Sample 101:		No. iterations:		60.		Error = 0.000942544
Sample 102:		No. iterations:		7.		Error = 0.000300725
Sample 103:		No. iterations:		12.		Error = 0.000949931
Sample 104:		No. iterations:		12.		Error = 0.000868382
Sample 105:		No. iterations:		5.		Error = 0.000818413
Sample 106:		No. iterations:		9.		Error = 0.000977259
Sample 107:		No. iterations:		5.		Error = 0.000960183
Sample 108:		No. iterations:		7.		Error = 0.00079058
Sample 109:		No. iterations:		13.		Error = 0.000972308
Sample 110:		No. iterations:		31.		Error = 0.000999314
Sample 111:		No. iterations:		29.		Error = 0.00093043
Sample 112:		No. iterations:		19.		Error = 0.000951236
Sample 113:		No. iterations:		1.		Error = 0.00024979
Sample 114:		No. iterations:		1.		Error = 0.000293323
Sample 115:		No. iterations:		8.		Error = 0.000966834
Sample 116:		No. iterations:		147.		Error = 0.000709604
Sample 117:		No. iterations:		8.		Error = 0.000806866
Sample 118:		No. iterations:		42.		Error = 0.000977833
Sample 119:		No. iterations:		42.		Error = 0.000519482
Sample 120:		No. iterations:		9.		Error = 0.00087735
Sample 121:		No. iterations:		14.		Error = 0.000888787
Sample 122:		No. iterations:		11.		Error = 0.000450102
Sample 123:		No. iterations:		7.		Error = 0.000609393
Sample 124:		No. iterations:		12.		Error = 0.000694456
Sample 125:		No. iterations:		1.		Error = 0.000188968
Sample 126:		No. iterations:		28.		Error = 0.000384901
Sample 127:		No. iterations:		16.		Error = 0.000880764
Sample 128:		No. iterations:		17.		Error = 0.000704678
Sample 129:		No. iterations:		14.		Error = 0.000910837
Sample 130:		No. iterations:		1.		Error = 0.000797605
Sample 131:		No. iterations:		7.		Error = 0.000944362
Sample 132:		No. iterations:		14.		Error = 0.000938986
Sample 133:		No. iterations:		419.		Error = 0.000950597
Sample 134:		No. iterations:		388.		Error = 0.000320594
Sample 135:		No. iterations:		512.		Error = 0.49999
Sample 136:		No. iterations:		6.		Error = 0.000750309
Sample 137:		No. iterations:		1.		Error = 0.000252583
Sample 138:		No. iterations:		31.		Error = 0.000950571
Sample 139:		No. iterations:		172.		Error = 0.000975577
Sample 140:		No. iterations:		12.		Error = 0.00075263
Sample 141:		No. iterations:		11.		Error = 0.000704334
Sample 142:		No. iterations:		9.		Error = 0.000953941
Sample 143:		No. iterations:		14.		Error = 0.000980043
Sample 144:		No. iterations:		19.		Error = 0.000895525
Sample 145:		No. iterations:		51.		Error = 0.000782156
Sample 146:		No. iterations:		7.		Error = 0.000845212
Sample 147:		No. iterations:		9.		Error = 0.000133197
Sample 148:		No. iterations:		6.		Error = 0.000860411
Sample 149:		No. iterations:		360.		Error = 0.00013045
Sample 150:		No. iterations:		8.		Error = 0.000830876
Sample 151:		No. iterations:		32.		Error = 0.000812152
Sample 152:		No. iterations:		6.		Error = 0.000232812
Sample 153:		No. iterations:		14.		Error = 0.000878173
